chr,start,end,q-val,ind,MarkerName
1,207508340,207508340,0.861037394,143,unspec
1,207508412,207508412,0.861241712,144,unspec
1,207508463,207508463,1,145,unspec
1,207508911,207508911,1,146,unspec
1,207508912,207508912,1,147,unspec
1,207510064,207510064,1,148,unspec
1,207510279,207510279,1,149,unspec
1,207510741,207510741,1,150,unspec
1,207510746,207510746,0.868179174,151,unspec
1,207510847,207510847,0.246103739,152,CR1
1,207511014,207511014,1,153,unspec
1,207511174,207511174,1,154,unspec
1,207511406,207511406,1,155,unspec
1,207512419,207512419,1,156,unspec
1,207512441,207512441,1,157,unspec
1,207512620,207512620,1,158,unspec
1,207512845,207512845,1,159,unspec
1,207512907,207512907,1,160,unspec
1,207512922,207512922,1,161,unspec
1,207514029,207514029,1,162,unspec
1,207514208,207514208,1,163,unspec
1,207514451,207514451,1,164,unspec
1,207515260,207515260,0.805066079,165,unspec
1,207515267,207515267,1,166,unspec
1,207515401,207515401,1,167,unspec
1,207515882,207515882,1,168,unspec
1,207516007,207516007,1,169,unspec
1,207516051,207516051,1,170,unspec
1,207516250,207516250,1,171,unspec
1,207516364,207516364,1,172,unspec
1,207517305,207517305,1,173,unspec
1,207517458,207517458,1,174,unspec
1,207517526,207517526,1,175,unspec
1,207577009,207577009,1,176,unspec
1,207577107,207577107,0.761453397,177,unspec
1,207577223,207577223,0.041011,178,CR1
1,207577265,207577265,0.839115411,179,unspec
1,207577269,207577269,1,180,unspec
1,207577798,207577798,1,181,unspec
1,207578894,207578894,1,182,unspec
1,207579017,207579017,1,183,unspec
1,207579205,207579205,0.843347051,184,unspec
1,207579268,207579268,1,185,unspec
1,207579625,207579625,1,186,unspec
1,207579645,207579645,0.81669627,187,unspec
1,207579930,207579930,1,188,unspec
1,207580000,207580000,1,189,unspec
1,207580276,207580276,1,190,unspec
1,207580908,207580908,1,191,unspec
1,207581040,207581040,1,192,unspec
1,207581205,207581205,1,193,unspec
1,207581233,207581233,0.868179174,194,unspec
1,207581354,207581354,1,195,unspec
1,207582157,207582157,1,196,unspec
1,207582391,207582391,1,197,unspec
1,207582842,207582842,1,198,unspec
1,207582847,207582847,1,199,unspec
1,207583244,207583244,1,200,unspec
1,207583890,207583890,1,201,unspec
1,207584048,207584048,1,202,unspec
1,207584170,207584170,1,203,unspec
1,207584207,207584207,1,204,unspec
1,207584246,207584246,1,205,unspec
1,207584591,207584591,1,206,unspec
1,207584887,207584887,1,207,unspec
1,207585199,207585199,1,208,unspec
1,207585442,207585442,1,209,unspec
1,207585785,207585785,1,210,unspec
1,207672368,207672368,1,211,unspec
1,207672697,207672697,1,212,unspec
1,207672723,207672723,0.821401078,213,unspec
1,207672897,207672897,1,214,unspec
1,207672974,207672974,1,215,unspec
1,207673030,207673030,1,216,unspec
1,207673317,207673317,1,217,unspec
1,207673485,207673485,1,218,unspec
1,207673678,207673678,1,219,unspec
1,207673717,207673717,1,220,unspec
1,207673783,207673783,1,221,unspec
1,207673850,207673850,0.785631518,222,unspec
1,207674061,207674061,1,223,unspec
1,207674065,207674065,1,224,unspec
1,207674531,207674531,1,225,unspec
1,207674563,207674563,0.861796407,226,unspec
1,207674706,207674706,1,227,unspec
1,207674864,207674864,1,228,unspec
1,207675353,207675353,1,229,unspec
1,207675358,207675358,1,230,unspec
1,207675869,207675869,1,231,unspec
1,207676299,207676299,1,232,unspec
1,207676300,207676300,1,233,unspec
1,207676470,207676470,1,234,unspec
1,207676571,207676571,1,235,unspec
1,207677179,207677179,1,236,unspec
1,207677194,207677194,1,237,unspec
1,207677215,207677215,1,238,unspec
1,207677244,207677244,1,239,unspec
1,207677372,207677372,1,240,unspec
1,207677534,207677534,1,241,unspec
1,207677555,207677555,1,242,unspec
1,207677779,207677779,1,243,unspec
1,207677824,207677824,1,244,unspec
1,207677910,207677910,1,245,unspec
1,207678016,207678016,1,246,unspec
1,207678142,207678142,1,247,unspec
1,207678209,207678209,1,248,unspec
1,207678266,207678266,0.852184927,249,unspec
1,207678415,207678415,1,250,unspec
1,207678461,207678461,1,251,unspec
1,207678501,207678501,1,252,unspec
1,207678776,207678776,1,253,unspec
1,207678881,207678881,1,254,unspec
1,207678979,207678979,1,255,unspec
1,207679255,207679255,1,256,unspec
1,207679297,207679297,1,257,unspec
1,207679348,207679348,0.821401078,258,unspec
1,207680468,207680468,1,259,unspec
1,207680537,207680537,1,260,unspec
1,207680579,207680579,1,261,unspec
1,207680690,207680690,1,262,unspec
1,207681010,207681010,0.767108753,263,unspec
1,207681064,207681064,1,264,unspec
1,207681139,207681139,1,265,unspec
1,207681207,207681207,1,266,unspec
1,207681293,207681293,1,267,unspec
1,207681327,207681327,1,268,unspec
1,207681358,207681358,1,269,unspec
1,207681482,207681482,1,270,unspec
1,207681566,207681566,1,271,unspec
1,207681574,207681574,0.830594901,272,unspec
1,207681750,207681750,1,273,unspec
1,207681862,207681862,1,274,unspec
1,211673812,211673812,1,275,unspec
1,211674168,211674168,0.868179174,276,unspec
1,211674172,211674172,1,277,unspec
1,211674237,211674237,1,278,unspec
1,211674244,211674244,1,279,unspec
1,211674304,211674304,1,280,unspec
1,211674693,211674693,1,281,unspec
1,211674888,211674888,1,282,unspec
1,211675465,211675465,1,283,unspec
1,211675606,211675606,1,284,unspec
1,211675781,211675781,0.81669627,285,unspec
1,211675838,211675838,0.817035775,286,unspec
1,211675853,211675853,1,287,unspec
1,211675884,211675884,1,288,unspec
1,211675980,211675980,1,289,unspec
1,211676147,211676147,1,290,unspec
1,211676479,211676479,1,291,unspec
1,211676627,211676627,1,292,unspec
1,211677128,211677128,1,293,unspec
1,211677516,211677516,1,294,unspec
1,211677596,211677596,0.821401078,295,unspec
1,211677671,211677671,1,296,unspec
1,211677717,211677717,1,297,unspec
1,211677960,211677960,1,298,unspec
1,211678068,211678068,1,299,unspec
1,211678190,211678190,1,300,unspec
1,211678277,211678277,1,301,unspec
1,211678569,211678569,1,302,unspec
1,211678664,211678664,1,303,unspec
1,211678675,211678675,1,304,unspec
1,211678690,211678690,0.896483516,305,unspec
1,211678959,211678959,1,306,unspec
1,211678976,211678976,1,307,unspec
1,211679284,211679284,1,308,unspec
1,211679953,211679953,1,309,unspec
1,211680103,211680103,1,310,unspec
1,211680111,211680111,1,311,unspec
1,211680189,211680189,1,312,unspec
1,211680838,211680838,1,313,unspec
1,211680987,211680987,1,314,unspec
1,211681789,211681789,1,315,unspec
1,211681793,211681793,1,316,unspec
1,211681866,211681866,1,317,unspec
1,211681870,211681870,0.861796407,318,unspec
1,211682104,211682104,0.81669627,319,unspec
1,211682222,211682222,1,320,unspec
1,211682251,211682251,1,321,unspec
1,211682551,211682551,1,322,unspec
1,211683068,211683068,1,323,unspec
1,211683088,211683088,1,324,unspec
1,211683153,211683153,1,325,unspec
1,211683168,211683168,1,326,unspec
1,211683251,211683251,0.875885714,327,unspec
1,211683259,211683259,0.89780461,328,unspec
1,211683611,211683611,1,329,unspec
1,211683810,211683810,1,330,unspec
1,211683815,211683815,1,331,unspec
1,211684304,211684304,1,332,unspec
1,211684348,211684348,1,333,unspec
1,211685505,211685505,1,334,unspec
1,211685678,211685678,1,335,unspec
1,211685695,211685695,1,336,unspec
1,211685722,211685722,1,337,unspec
1,161180790,161180790,0.79184598,338,unspec
1,161180796,161180796,1,339,unspec
1,207518218,207518218,1,340,unspec
1,207518656,207518656,1,341,unspec
1,207518704,207518704,0.736410256,342,unspec
1,207519710,207519710,1,343,unspec
1,207519818,207519818,1,344,unspec
1,207519946,207519946,1,345,unspec
1,207520048,207520048,0.818197136,346,unspec
1,207520126,207520126,1,347,unspec
1,207520218,207520218,1,348,unspec
1,207520521,207520521,1,349,unspec
1,207520820,207520820,1,350,unspec
1,207521012,207521012,1,351,unspec
1,207521410,207521410,1,352,unspec
1,207521558,207521558,1,353,unspec
1,207521833,207521833,1,354,unspec
1,207522243,207522243,1,355,unspec
1,207522530,207522530,1,356,unspec
1,207522629,207522629,1,357,unspec
1,207523192,207523192,1,358,unspec
1,207523327,207523327,1,359,unspec
1,207523568,207523568,1,360,unspec
1,207608650,207608650,1,361,unspec
1,207608809,207608809,1,362,unspec
1,207609074,207609074,1,363,unspec
1,207609362,207609362,1,364,unspec
1,207609424,207609424,1,365,unspec
1,207609511,207609511,1,366,unspec
1,207609544,207609544,1,367,unspec
1,207609571,207609571,1,368,unspec
1,207609586,207609586,1,369,unspec
1,207610162,207610162,1,370,unspec
1,207610574,207610574,1,371,unspec
1,207610773,207610773,1,372,unspec
1,207611623,207611623,1,373,unspec
1,207611754,207611754,1,374,unspec
1,207612088,207612088,1,375,unspec
1,207612807,207612807,1,376,unspec
1,207612825,207612825,1,377,unspec
1,207612878,207612878,1,378,unspec
1,207612944,207612944,1,379,unspec
1,207613013,207613013,1,380,unspec
1,207613095,207613095,0.812387612,381,unspec
1,207613197,207613197,1,382,unspec
1,207613213,207613213,1,383,unspec
1,207613435,207613435,1,384,unspec
1,207613483,207613483,1,385,unspec
1,207613895,207613895,1,386,unspec
1,207614763,207614763,1,387,unspec
1,207615233,207615233,1,388,unspec
1,207615449,207615449,1,389,unspec
1,207615924,207615924,1,390,unspec
1,207615958,207615958,1,391,unspec
1,207616126,207616126,1,392,unspec
1,207616379,207616379,1,393,unspec
1,207616743,207616743,1,394,unspec
1,207617072,207617072,1,395,unspec
1,207617202,207617202,1,396,unspec
1,207617237,207617237,1,397,unspec
1,207617368,207617368,1,398,unspec
1,207617795,207617795,1,399,unspec
1,207617837,207617837,1,400,unspec
1,207618089,207618089,1,401,unspec
1,207618350,207618350,1,402,unspec
1,207624712,207624712,1,403,unspec
1,207624893,207624893,1,404,unspec
1,207625349,207625349,1,405,unspec
1,207625371,207625371,1,406,unspec
1,207625796,207625796,1,407,CR1
1,207626270,207626270,1,408,unspec
1,207626374,207626374,1,409,unspec
1,207626398,207626398,1,410,unspec
1,207626401,207626401,1,411,unspec
1,207626525,207626525,1,412,unspec
1,207626529,207626529,1,413,unspec
1,207626535,207626535,1,414,unspec
1,207626809,207626809,1,415,unspec
1,207627044,207627044,0.761453397,416,unspec
1,207627055,207627055,1,417,unspec
1,207627064,207627064,1,418,unspec
1,207627210,207627210,0.045834,419,CR1
1,207627517,207627517,1,420,unspec
1,207628200,207628200,1,421,unspec
1,207629207,207629207,0.81669627,422,unspec
1,207629676,207629676,1,423,unspec
1,207629719,207629719,1,424,unspec
1,207629919,207629919,0.699779249,425,unspec
1,207630250,207630250,1,426,unspec
1,207630476,207630476,1,427,unspec
1,207630635,207630635,1,428,unspec
1,207630685,207630685,1,429,unspec
1,207630796,207630796,0.81669627,430,unspec
1,207630893,207630893,1,431,unspec
1,207631277,207631277,1,432,unspec
1,207631538,207631538,0.775764706,433,unspec
1,207631961,207631961,1,434,unspec
1,207632044,207632044,1,435,unspec
1,207632137,207632137,1,436,unspec
1,207632611,207632611,1,437,unspec
1,207632774,207632774,1,438,unspec
1,207633385,207633385,1,439,unspec
1,207633644,207633644,0.81669627,440,unspec
1,207633863,207633863,1,441,unspec
2,7347625,7347625,1,442,unspec
2,7348340,7348340,0.845660881,443,unspec
2,7348600,7348600,1,444,unspec
2,7348627,7348627,1,445,unspec
2,7348728,7348728,1,446,unspec
2,7349105,7349105,1,447,unspec
2,7349108,7349108,1,448,unspec
2,7349116,7349116,1,449,unspec
2,7349760,7349760,1,450,unspec
2,7349862,7349862,0.806510682,451,unspec
2,7349865,7349865,1,452,unspec
2,7349866,7349866,1,453,unspec
2,7349867,7349867,1,454,unspec
2,7349872,7349872,1,455,unspec
2,7350025,7350025,0.81669627,456,unspec
2,7350048,7350048,1,457,unspec
2,7350252,7350252,1,458,unspec
2,7350367,7350367,1,459,unspec
2,7350526,7350526,1,460,unspec
2,7351086,7351086,0.818197136,461,unspec
2,7351207,7351207,1,462,unspec
2,7352609,7352609,1,463,unspec
2,7352820,7352820,1,464,unspec
2,7352934,7352934,1,465,unspec
2,7353932,7353932,0.861037394,466,unspec
2,7353949,7353949,1,467,unspec
2,7354108,7354108,0.851278772,468,unspec
2,7354157,7354157,1,469,unspec
2,7354278,7354278,1,470,unspec
2,7355812,7355812,1,471,unspec
2,7355881,7355881,1,472,unspec
2,7355917,7355917,1,473,unspec
2,7356160,7356160,1,474,unspec
2,7356276,7356276,1,475,unspec
2,7356741,7356741,1,476,unspec
2,7356843,7356843,1,477,unspec
2,7356867,7356867,1,478,unspec
2,7357037,7357037,1,479,unspec
2,7357203,7357203,0.838642659,480,unspec
2,7357659,7357659,1,481,unspec
2,7357681,7357681,0.81669627,482,unspec
2,7357968,7357968,0.817035775,483,unspec
2,7358227,7358227,1,484,unspec
2,8266130,8266130,1,485,unspec
2,8266302,8266302,1,486,unspec
2,8266503,8266503,1,487,unspec
2,8266572,8266572,1,488,unspec
2,8266942,8266942,1,489,unspec
2,8267518,8267518,1,490,unspec
2,8267715,8267715,1,491,unspec
2,8268050,8268050,1,492,unspec
2,8268983,8268983,1,493,unspec
2,8269364,8269364,1,494,unspec
2,8269501,8269501,1,495,unspec
2,8269620,8269620,1,496,unspec
2,8269703,8269703,1,497,unspec
2,8269749,8269749,1,498,unspec
2,8269910,8269910,1,499,unspec
2,8270410,8270410,1,500,unspec
2,8270814,8270814,0.79184598,501,unspec
2,8270816,8270816,1,502,unspec
2,8271938,8271938,1,503,unspec
2,8272399,8272399,1,504,unspec
2,8273237,8273237,1,505,unspec
2,8273418,8273418,1,506,unspec
2,8273562,8273562,1,507,unspec
2,8273797,8273797,1,508,unspec
2,8274044,8274044,0.806510682,509,unspec
2,8274066,8274066,1,510,unspec
2,8275418,8275418,0.767108753,511,unspec
2,8275869,8275869,1,512,unspec
2,8275964,8275964,0.605787781,513,unspec
2,8276044,8276044,1,514,unspec
2,8276090,8276090,1,515,unspec
2,8276358,8276358,1,516,unspec
2,8276575,8276575,1,517,unspec
2,8277368,8277368,1,518,unspec
2,8278175,8278175,1,519,unspec
2,8278400,8278400,1,520,unspec
2,8278495,8278495,1,521,unspec
2,8278594,8278594,1,522,unspec
2,105743649,105743649,1,523,unspec
2,105743877,105743877,1,524,unspec
2,105744208,105744208,1,525,unspec
2,105744218,105744218,1,526,unspec
2,105744227,105744227,1,527,unspec
2,105744260,105744260,1,528,unspec
2,105744276,105744276,1,529,unspec
2,105744648,105744648,1,530,unspec
2,105744677,105744677,1,531,unspec
2,105744738,105744738,1,532,unspec
2,105745014,105745014,1,533,unspec
2,105745021,105745021,0.682666667,534,unspec
2,105745150,105745150,1,535,unspec
2,105745209,105745209,1,536,unspec
2,105745237,105745237,1,537,unspec
2,105745290,105745290,1,538,unspec
2,105745420,105745420,1,539,unspec
2,105745421,105745421,1,540,unspec
2,105745434,105745434,1,541,unspec
2,105745830,105745830,1,542,unspec
2,105745907,105745907,0.81669627,543,unspec
2,105746264,105746264,1,544,unspec
2,105746492,105746492,1,545,unspec
2,105746706,105746706,1,546,unspec
2,105746748,105746748,1,547,unspec
2,105746811,105746811,1,548,unspec
2,105747099,105747099,1,549,unspec
2,105747680,105747680,1,550,unspec
2,105747682,105747682,1,551,unspec
2,105747815,105747815,1,552,unspec
2,105747956,105747956,1,553,unspec
2,105748016,105748016,1,554,unspec
2,105748227,105748227,1,555,unspec
2,105748258,105748258,1,556,unspec
2,105748276,105748276,1,557,unspec
2,105748361,105748361,1,558,unspec
2,105748386,105748386,1,559,unspec
2,105748510,105748510,1,560,unspec
2,105748526,105748526,1,561,unspec
2,105748527,105748527,1,562,unspec
2,105748775,105748775,1,563,unspec
2,105749397,105749397,1,564,unspec
2,105749565,105749565,1,565,unspec
2,105749599,105749599,1,566,unspec
2,105749736,105749736,1,567,unspec
2,105749775,105749775,1,568,unspec
2,105749839,105749839,1,569,unspec
2,105750387,105750387,1,570,unspec
2,105750509,105750509,0.732982456,571,unspec
2,105750900,105750900,1,572,unspec
2,105751104,105751104,1,573,unspec
2,105751224,105751224,1,574,unspec
2,105751252,105751252,1,575,unspec
2,105751397,105751397,1,576,unspec
2,105751654,105751654,1,577,unspec
2,105751731,105751731,1,578,unspec
2,105752050,105752050,1,579,unspec
2,105752394,105752394,1,580,unspec
2,105752625,105752625,1,581,unspec
2,105752722,105752722,1,582,unspec
2,105752796,105752796,1,583,unspec
2,105753076,105753076,1,584,unspec
2,105753330,105753330,1,585,unspec
2,105753662,105753662,1,586,unspec
2,105753911,105753911,1,587,unspec
2,105754451,105754451,1,588,unspec
2,105754555,105754555,1,589,unspec
2,105754679,105754679,1,590,unspec
2,105754856,105754856,1,591,unspec
2,105755106,105755106,1,592,unspec
2,105755242,105755242,1,593,unspec
2,105755405,105755405,1,594,unspec
2,105755472,105755472,1,595,unspec
2,105755489,105755489,1,596,unspec
2,105755706,105755706,0.706724512,597,unspec
2,105755901,105755901,1,598,unspec
2,105755976,105755976,1,599,unspec
2,105756085,105756085,1,600,unspec
2,105756123,105756123,1,601,unspec
2,105756214,105756214,1,602,unspec
2,105756344,105756344,1,603,unspec
2,105756451,105756451,0.765405405,604,unspec
2,127064263,127064263,1,605,unspec
2,127064471,127064471,1,606,unspec
2,127064560,127064560,1,607,unspec
2,127064584,127064584,1,608,unspec
2,127065140,127065140,0.845660881,609,unspec
2,127065145,127065145,1,610,unspec
2,127065306,127065306,1,611,unspec
2,127065604,127065604,0.722846442,612,unspec
2,127065994,127065994,0.830671378,613,unspec
2,127066042,127066042,1,614,unspec
2,127066110,127066110,1,615,unspec
2,127066256,127066256,1,616,unspec
2,127066851,127066851,1,617,unspec
2,127066933,127066933,1,618,unspec
2,127066937,127066937,1,619,unspec
2,127067112,127067112,1,620,unspec
2,127067213,127067213,1,621,unspec
2,127067454,127067454,1,622,unspec
2,127067526,127067526,1,623,unspec
2,127067541,127067541,1,624,unspec
2,127068392,127068392,0.420689655,625,unspec
2,127068683,127068683,0.62345679,626,unspec
2,127068855,127068855,1,627,unspec
2,127068957,127068957,1,628,unspec
2,127069056,127069056,1,629,unspec
2,127069059,127069059,1,630,unspec
2,127069257,127069257,1,631,unspec
2,127069479,127069479,0.821401078,632,unspec
2,127069480,127069480,0.568518519,633,unspec
2,127069571,127069571,0.775059382,634,unspec
2,127069831,127069831,1,635,unspec
2,127070483,127070483,1,636,unspec
2,127070495,127070495,1,637,unspec
2,127071365,127071365,1,638,unspec
2,127071422,127071422,0.411940299,639,unspec
2,127071706,127071706,1,640,unspec
2,127072128,127072128,0.57768595,641,unspec
2,127072225,127072225,1,642,unspec
2,127072367,127072367,1,643,unspec
2,127072501,127072501,1,644,unspec
2,127072545,127072545,1,645,unspec
2,127072588,127072588,1,646,unspec
2,127072643,127072643,1,647,unspec
2,127072723,127072723,1,648,unspec
2,127072821,127072821,1,649,unspec
2,127073032,127073032,1,650,unspec
2,127073033,127073033,1,651,unspec
2,127073127,127073127,1,652,unspec
2,127073130,127073130,1,653,unspec
2,127073560,127073560,1,654,unspec
2,127073951,127073951,1,655,unspec
2,127077216,127077216,1,656,unspec
2,127077280,127077280,1,657,unspec
2,127077316,127077316,1,658,unspec
2,127077417,127077417,0.765405405,659,unspec
2,127077429,127077429,1,660,unspec
2,127077470,127077470,1,661,unspec
2,127077546,127077546,1,662,unspec
2,127077659,127077659,1,663,unspec
2,127077797,127077797,1,664,unspec
2,127078003,127078003,1,665,unspec
2,127078048,127078048,1,666,unspec
2,127078059,127078059,1,667,unspec
2,127078090,127078090,1,668,unspec
2,127078193,127078193,1,669,unspec
2,127078197,127078197,1,670,unspec
2,127078251,127078251,1,671,unspec
2,127078377,127078377,1,672,unspec
2,127078790,127078790,1,673,unspec
2,127079351,127079351,1,674,unspec
2,127079361,127079361,1,675,unspec
2,127079465,127079465,1,676,unspec
2,127079478,127079478,1,677,unspec
2,127080123,127080123,0.820414938,678,unspec
2,127080539,127080539,1,679,unspec
2,127080661,127080661,1,680,unspec
2,127080773,127080773,0.762128326,681,unspec
2,127080840,127080840,1,682,unspec
2,127080874,127080874,1,683,unspec
2,127081073,127081073,1,684,unspec
2,127081103,127081103,1,685,unspec
2,127081191,127081191,1,686,unspec
2,127081353,127081353,0.635142119,687,unspec
2,127081619,127081619,1,688,unspec
2,127081687,127081687,1,689,unspec
2,127081858,127081858,1,690,unspec
2,127081898,127081898,1,691,unspec
2,127081937,127081937,1,692,unspec
2,127081958,127081958,1,693,unspec
2,127082051,127082051,0.861037394,694,unspec
2,127082122,127082122,1,695,unspec
2,127082205,127082205,0.538043478,696,unspec
2,127082808,127082808,1,697,unspec
2,127082912,127082912,1,698,unspec
2,127083071,127083071,1,699,unspec
2,127083138,127083138,1,700,unspec
2,127083142,127083142,1,701,unspec
2,127083172,127083172,1,702,unspec
2,127083291,127083291,1,703,unspec
2,127083328,127083328,1,704,unspec
2,127083761,127083761,1,705,unspec
2,127084010,127084010,1,706,unspec
2,127084193,127084193,1,707,unspec
2,127084354,127084354,1,708,unspec
2,127084369,127084369,1,709,unspec
2,127084586,127084586,1,710,unspec
2,127084807,127084807,1,711,unspec
2,127085031,127085031,1,712,unspec
2,127085175,127085175,1,713,unspec
2,127085298,127085298,1,714,unspec
2,127085465,127085465,0.707296137,715,unspec
2,127085617,127085617,1,716,unspec
2,127085620,127085620,1,717,unspec
2,127085666,127085666,1,718,unspec
2,127085803,127085803,1,719,unspec
2,127086080,127086080,1,720,unspec
2,127086143,127086143,1,721,unspec
2,127086158,127086158,0.771773221,722,unspec
2,127086199,127086199,1,723,unspec
2,127086585,127086585,0.046516129,724,BIN1
2,127086781,127086781,1,725,unspec
2,127086831,127086831,1,726,unspec
2,127087063,127087063,1,727,unspec
2,127087159,127087159,1,728,unspec
2,127088193,127088193,1,729,unspec
2,127088199,127088199,1,730,unspec
2,127088247,127088247,0.79184598,731,unspec
2,127088745,127088745,1,732,unspec
2,127088764,127088764,1,733,unspec
2,127088929,127088929,1,734,unspec
2,127088958,127088958,1,735,unspec
2,127088991,127088991,1,736,unspec
2,127089231,127089231,1,737,unspec
2,127105411,127105411,1,738,unspec
2,127105453,127105453,1,739,unspec
2,127105516,127105516,1,740,unspec
2,127105648,127105648,1,741,unspec
2,127105762,127105762,1,742,unspec
2,127105970,127105970,1,743,unspec
2,127105999,127105999,1,744,unspec
2,127106105,127106105,1,745,unspec
2,127106405,127106405,1,746,unspec
2,127106456,127106456,1,747,unspec
2,127106573,127106573,1,748,unspec
2,127106624,127106624,1,749,unspec
2,127106970,127106970,0.57768595,750,unspec
2,127107257,127107257,0.768503937,751,unspec
2,127107332,127107332,1,752,unspec
2,127107345,127107345,1,753,unspec
2,127107346,127107346,1,754,unspec
2,127107479,127107479,1,755,unspec
