chr,start,end,kappa,tau,T_original,T_Knock1,T_Knock2,T_Knock3,T_Knock4,T_Knock5,q-value,Ind,MarkerName
1,161185773,161185773,2,0.003587,0.0030783,0.0039917,0.0067488,0.0031618,0.0010497,0.0040613,1,40,unspec
1,161186085,161186085,2,0.0018633,0.0019079,0.0019547,0.003818,0.0017834,0.0036538,0.0032235,1,41,unspec
1,161186243,161186243,5,0.0149511,0.0020189,0.00155,0.00036446,0.0027116,0.0046547,0.01697,1,42,unspec
1,161187650,161187650,2,0.0006774,0.0017708,0.0019527,0.0026301,3.52E-06,0.0026268,0.0019578,1,43,unspec
1,161188454,161188454,4,0.0010192,0.0019733,0.0024575,0.0011647,0.002632,0.0034767,0.0025459,1,44,unspec
1,161188558,161188558,1,0.0011431,0.0018415,0.003251,0.0023905,0.0025547,0.0011907,0.0021079,1,45,unspec
1,161188591,161188591,4,0.0007976,0.0016843,0.001746,0.0016056,0.0018895,0.0024819,0.0015307,1,46,unspec
1,161189357,161189357,0,0.0025044,0.0042574,0.0024361,0.0004847,0.0004839,0.0042547,0.001753,0.793043478,47,unspec
1,161189368,161189368,3,0.0028726,0.0013684,0.00032046,0.0019982,0.004241,0.00057546,0.0024693,1,48,unspec
1,161189621,161189621,3,0.0035346,0.0017709,0.00098441,0.002505,0.0057364,0.0022018,0.0056824,1,49,unspec
1,161189645,161189645,0,0.0012594,0.0043151,0.0038028,0.0025229,0.0002015,0.003762,0.0030557,0.858585859,50,unspec
1,161190226,161190226,2,0.0008495,0.0014661,0.0023046,0.0023156,0.0014544,0.00091868,0.0021583,1,51,unspec
1,161190369,161190369,3,0.0037282,0.0021067,0.0023288,0.0015347,0.0058349,0.0041932,2.37E-05,1,52,unspec
1,161190677,161190677,3,0.00279376,0.00075494,0.0012532,0.00016121,0.0035487,0.00070759,0.0023263,1,53,unspec
1,161190790,161190790,5,0.0013595,0.0020323,0.0023529,0.0026062,0.0036627,0.0013047,0.0037124,1,54,unspec
1,161190850,161190850,0,0.0015861,0.0036955,0.0021094,0.0022774,0.0021164,0.0020753,0.0010631,0.842074928,55,unspec
1,161191043,161191043,4,0.0025094,0.0024606,0.002883,0.0024018,0.0019262,0.00497,0.0030503,1,56,unspec
1,161191082,161191082,1,0.0031008,0.0019382,0.0044844,0.00087952,0.00041414,0.0013836,0.0020428,1,57,unspec
1,161191226,161191226,4,0.0005494,0.0016223,0.0017567,0.001358,0.0013208,0.0019576,0.0014082,1,58,unspec
1,161211628,161211628,3,0.0012215,0.0018856,0.0023675,0.0020896,0.0033111,0.0024593,0.00095504,1,59,unspec
1,161211701,161211701,3,0.0014207,0.0025622,5.98E-06,0.00096173,0.0026468,0.0026463,0.0012261,1,60,unspec
1,161211954,161211954,4,0.0030704,0.0021419,0.0010285,0.0015363,0.0015231,0.0046067,0.0033574,1,61,unspec
1,161212418,161212418,2,0.0037671,0.0012764,0.0015482,0.0050435,0.0037418,0.0011525,0.00058581,1,62,unspec
1,161212565,161212565,3,0.0020358,0.00021699,0.0004821,0.0020665,0.0033481,0.0013123,0.0020973,1,63,unspec
1,161212694,161212694,5,0.0015203,0.002417,0.0030914,0.0033269,0.0023301,0.0026171,0.0041374,1,64,unspec
1,161212698,161212698,0,0.0024177,0.0040739,0.0015099,0.0025561,0.0033133,0.00078556,0.0016562,0.793043478,65,unspec
1,161212882,161212882,2,0.0024825,0.0032045,0.00174,0.0042441,0.0017616,0.0015524,0.0019846,1,66,unspec
1,161212928,161212928,2,0.0009514,0.0010399,0.0018067,0.0023097,0.0013583,0.001327,0.0022571,1,67,unspec
1,161212936,161212936,5,0.0037284,0.0013119,0.0018351,0.0013596,0.00097569,0.0035085,0.005088,1,68,unspec
1,161213726,161213726,2,0.0012255,0.003093,0.0027436,0.0039691,0.0021179,0.00077684,0.0030998,1,69,unspec
1,161214307,161214307,5,0.0092453,0.0023855,0.0010837,0.0016277,0.00099055,0.00056284,0.010329,1,70,unspec
1,161214423,161214423,4,0.0005777,0.0030602,0.0021719,0.0026171,0.0015738,0.0031948,0.0028328,1,71,unspec
1,161214868,161214868,3,0.0025564,0.0026546,0.0022602,0.0025246,0.0048435,0.0022871,0.0021789,1,72,unspec
1,161215085,161215085,4,0.0060255,0.0021024,0.0019297,0.0019236,0.0011849,0.0079552,0.0039497,1,73,unspec
1,161215186,161215186,2,0.0024489,0.001358,0.0046672,0.0047428,0.002248,0.002752,0.0022939,1,74,unspec
1,161215268,161215268,3,0.0027659,0.0014228,0.0068841,0.0065257,0.0092916,0.0091003,0.0053953,1,75,unspec
1,161215334,161215334,1,0.0007297,0.0015998,0.0021487,0.0013565,0.001419,0.00074888,0.0018466,1,76,unspec
1,161215939,161215939,5,0.0016204,0.0018845,0.0032601,0.0010278,0.0028588,0.00224,0.0038604,1,77,unspec
1,161216451,161216451,5,0.0014748,0.0015721,0.0016049,0.0016354,0.0029922,0.00096666,0.0030797,1,78,unspec
1,161216513,161216513,2,0.0033101,0.0034668,0.0047267,0.0067685,0.0033281,0.0034584,0.0024227,1,79,unspec
1,161216523,161216523,4,0.001221,0.0020407,0.0024562,0.0014324,0.00070398,0.0031941,0.0019731,1,80,unspec
1,161216938,161216938,0,0.0034619,0.0057748,0.0030681,0.0022101,0.0028039,0.0023129,0.0013968,0.710217755,81,unspec
1,161217219,161217219,1,0.00307402,0.00081388,0.0037698,0.0003097,0.0017328,0.00032466,0.00069578,1,82,unspec
1,161217875,161217875,5,0.0016983,0.0030488,0.0028848,0.00013591,0.0021693,0.0016087,0.0038676,1,83,unspec
1,161218368,161218368,5,0.0013051,0.0010476,0.0043756,0.0016709,0.0054971,0.0046775,0.0056807,1,84,unspec
1,161218459,161218459,1,0.0010812,0.0013921,0.0024733,0.0015162,0.00029125,0.0017542,0.001351,1,85,unspec
1,161218797,161218797,1,0.0006886,0.0019249,0.0026135,0.001806,0.0014025,0.0025627,0.0020794,1,86,unspec
1,161218859,161218859,4,0.0024509,0.0017061,0.002955,0.0041397,0.0021791,0.00463,0.002138,1,87,unspec
1,161219103,161219103,3,0.00331428,0.0031455,0.00066932,0.0016043,0.0039836,0.00053894,0.00059512,1,88,unspec
1,161219146,161219146,3,0.00408017,4.72E-05,0.00057253,0.00011825,0.0045367,0.00045653,0.0037284,1,89,unspec
1,161219277,161219277,2,0.0010551,0.002463,0.0013395,0.0035181,0.0026785,0.0025802,0.0020287,1,90,unspec
1,161219554,161219554,2,0.00301024,0.0021657,0.0012454,0.0034686,0.00045836,8.64E-05,0.00029805,1,91,unspec
1,161219601,161219601,5,0.0012992,0.0018862,0.001515,0.0023148,0.00173,0.0021073,0.0031854,1,92,unspec
1,161219923,161219923,3,0.000237,0.0011625,0.001274,0.00017601,0.001511,0.0014268,0.0013315,1,93,unspec
1,161219943,161219943,0,0.0009423,0.0051337,0.0041914,0.0051058,0.0044071,0.0041048,0.0020385,0.876342857,94,unspec
1,161220144,161220144,0,0.00800266,0.0088162,0.00053538,0.00081354,1.38E-05,0.003417,0.0019221,0.491764706,95,unspec
1,161220460,161220460,5,0.0024166,0.0022766,0.0030068,0.0010358,0.0035525,0.0019323,0.0046932,1,96,unspec
1,161220494,161220494,2,0.0015111,0.0029113,0.0023533,0.0038644,3.61E-05,0.0035405,0.0021881,1,97,unspec
1,161221438,161221438,0,0.0097254,0.012237,0.0025116,0.002828,0.0022252,0.0094874,0.00092369,0.462385321,98,unspec
1,161221453,161221453,1,0.0013113,0.0023846,0.0036959,0.001922,0.0031266,0.0034653,0.00097083,1,99,unspec
1,161221506,161221506,5,0.0050687,0.0042024,0.0024533,0.001124,0.0029094,0.0035191,0.0079781,1,100,unspec
1,204063406,204063406,4,0.0015409,0.0010367,0.00097712,0.0011132,0.00098483,0.0025776,0.0023744,1,101,unspec
1,204063447,204063447,4,0.0037014,0.0012537,0.0007073,0.00037018,1.92E-05,0.0044087,0.0041228,1,102,unspec
1,204063833,204063833,4,0.0016311,0.0029194,0.0035525,0.00076139,0.0019102,0.0036406,0.0020095,1,103,unspec
1,204064272,204064272,2,0.002896,0.001595,0.0020464,0.0049424,0.0042142,0.0035232,0.0012129,1,104,unspec
1,204064358,204064358,0,0.0015511,0.0038687,0.0023176,0.0030732,0.0018315,0.0020218,0.0029115,0.842074928,105,unspec
1,204064587,204064587,0,0.012558,0.017258,0.0058229,0.0040695,0.004943,0.00051551,0.0047,0.438596491,106,unspec
1,204064987,204064987,2,0.0043721,0.005393,0.003486,0.0078581,0.0021788,0.002899,0.0065863,1,107,unspec
1,204065396,204065396,1,0.0008555,0.00029781,0.0025805,0.0024062,0.0012951,0.0018986,0.001725,1,108,unspec
1,204065405,204065405,4,0.0016723,0.0017253,0.00019906,0.0020095,0.0012521,0.0033976,0.0029489,1,109,unspec
1,204065523,204065523,2,0.001061,0.0024129,0.0020316,0.0030926,0.0010328,0.0024475,0.00092659,1,110,unspec
1,204066036,204066036,4,0.0032628,0.0015723,0.0022148,0.0028681,0.0022511,0.0054776,0.0019068,1,111,unspec
1,204066290,204066290,5,0.0007049,0.0017385,0.0035881,0.0034429,0.0036877,0.0034704,0.0041753,1,112,unspec
1,204066419,204066419,4,0.0058272,0.00084901,0.001681,0.006007,0.0012453,0.0072663,0.0014391,1,113,unspec
1,204067138,204067138,3,0.0016928,0.0019771,0.0011341,0.0027833,0.0035797,0.0015415,0.0018869,1,114,unspec
1,204067760,204067760,2,0.0026977,0.0021331,0.0019945,0.0048308,0.00152,0.0032798,0.0023545,1,115,unspec
1,204067905,204067905,3,0.0050764,0.0034233,0.0023491,0.0016706,0.0074255,0.0031046,0.0022963,1,116,unspec
1,204068485,204068485,5,0.00275963,0.00046344,0.00075178,0.00066702,0.00072794,0.00070757,0.0034672,1,117,unspec
1,204068701,204068701,3,0.0025078,0.003115,0.0035896,0.0023121,0.0048612,0.0022889,0.0023534,1,118,unspec
1,204069017,204069017,3,0.0024563,0.0039607,0.0029859,0.00025622,0.0062887,0.0044193,0.0038324,1,119,unspec
1,204069261,204069261,5,0.00135991,0.00045694,0.00082649,0.0022757,0.00095939,0.0022677,0.0023193,1,120,unspec
1,204069602,204069602,4,0.0012027,0.0029732,0.0019456,0.00027814,0.0027446,0.0034139,0.0022112,1,121,unspec
1,204070032,204070032,4,0.0024007,0.0021792,0.002318,3.97E-05,0.0035084,0.0047187,0.0042617,1,122,unspec
1,204070298,204070298,5,0.001417,0.0029952,0.0019767,0.0016189,0.0019563,0.0022048,0.0033937,1,123,unspec
1,204070796,204070796,0,0.0093004,0.0139,0.0066997,0.0024194,0.0066559,0.0045996,0.0035515,0.462385321,124,unspec
1,204071003,204071003,0,0.0048885,0.0078338,0.0029453,0.00078375,0.0027438,0.0064914,0.0043447,0.661691542,125,unspec
1,204071638,204071638,0,0.0006033,0.0027857,0.0024668,0.0019597,0.0020974,0.0021824,0.002272,1,126,unspec
1,204072159,204072159,0,0.0018311,0.0043675,0.0025364,0.0019138,0.0009452,0.0041634,0.0040736,0.831345826,127,unspec
1,204072218,204072218,0,0.0039121,0.0061639,7.75E-05,0.0022518,0.003535,0.0021798,0.0042944,0.684496124,128,unspec
1,204072748,204072748,4,0.0064001,0.0033441,0.0029278,0.00053474,0.0025675,0.0091294,0.0027293,1,129,unspec
1,204072756,204072756,4,0.0048288,0.0019894,0.00016977,0.0011144,0.0017982,0.0059432,0.00012742,1,130,unspec
1,204073305,204073305,3,0.005765,0.00055405,0.0021592,0.0062235,0.0088185,0.0030535,0.0032019,1,131,unspec
1,204074001,204074001,4,0.0001729,0.0021173,0.00262,0.0027417,0.0025374,0.0027929,0.0027785,1,132,unspec
1,204074288,204074288,1,0.0029878,0.0026676,0.0045149,0.0010944,0.0036614,9.39E-05,0.0015271,1,133,unspec
1,204075198,204075198,1,0.00094692,0.00056608,0.001513,0.0001364,0.0013836,0.00039092,0.0014822,1,134,unspec
1,204075438,204075438,5,0.0030066,0.00035302,0.0024919,0.0014121,0.004822,0.0028751,0.0054985,1,135,unspec
1,204075481,204075481,3,0.0027866,0.0019322,0.00029667,0.0028677,0.0044597,0.0016731,0.00065976,1,136,unspec
1,207507632,207507632,1,0.0041233,9.52E-05,0.0045002,0.0003769,2.10E-05,0.0028186,0.0019175,1,137,unspec
1,207507729,207507729,5,0.001412,0.0017984,0.0013449,0.0012017,0.0017313,0.0021553,0.0031433,1,138,unspec
1,207507809,207507809,3,0.0020893,0.0012966,0.0030322,0.0014924,0.0041756,0.002447,0.0020863,1,139,unspec
1,207508068,207508068,0,0.0012645,0.0025546,0.0015598,0.0014121,0.00044117,0.0012901,0.00061976,0.858585859,140,unspec
1,207508115,207508115,1,0.0014056,0.002995,0.0044006,0.0032041,0.00049379,0.0034002,0.0020765,1,141,unspec
1,207508156,207508156,0,0.0119276,0.014633,0.0040881,0.0027054,0.0012459,0.0055232,0.00022332,0.451724138,142,unspec
1,207508340,207508340,0,0.0061996,0.0085015,0.0016651,0.0023019,0.00098913,0.0039163,0.0071557,0.556307692,143,unspec
1,207508412,207508412,2,0.0027305,0.00046449,0.0040856,0.0042418,0.00044136,0.0015113,0.0017784,1,144,unspec
1,207508463,207508463,0,0.0011246,0.0029554,0.0016238,0.0015339,0.0018308,0.0023395,0.0021238,0.86284658,145,unspec
1,207508911,207508911,0,0.0093517,0.012043,0.001228,0.0026913,0.011462,0.0035546,0.0009562,0.462385321,146,unspec
1,207508912,207508912,2,0.001958,0.0037091,0.0010754,0.0042089,0.0022509,0.002895,0.00023427,1,147,unspec
1,207510064,207510064,5,0.005959,0.00063471,0.0021486,0.0050852,0.0021709,0.0010197,0.0081076,1,148,unspec
1,207510279,207510279,3,0.0010956,0.0015635,0.0018141,0.0016488,0.0029097,0.0024997,0.0021083,1,149,unspec
1,207510741,207510741,1,0.0010882,0.0020331,0.0028423,0.0014433,0.00044134,0.0017541,0.0018455,1,150,unspec
1,207510746,207510746,0,0.0024383,0.0068399,0.0014775,0.0061858,0.0039764,0.0056631,0.0044016,0.793043478,151,unspec
1,207510847,207510847,1,0.005683,0.010127,0.01581,0.013892,0.0094645,0.0085601,0.011424,1,152,unspec
1,207511014,207511014,0,0.02132652,0.022156,0.011239,0.00082948,0.00069073,0.0094223,0.00048647,0.406756757,153,unspec
1,207511174,207511174,0,0.00465475,0.0054735,0.00080421,0.0019126,0.00044146,0.00097983,0.00081875,0.668161435,154,unspec
1,207511406,207511406,1,0.0014338,0.0014637,0.0043958,0.002962,0.00017468,0.003164,0.0035887,1,155,unspec
1,207512419,207512419,1,0.0016772,0.002643,0.0040013,0.0035115,0.00026839,0.0022611,0.0023241,1,156,unspec
1,207512441,207512441,0,0.0075763,0.0090029,0.0014266,0.0030869,0.00076982,0.00060057,0.0061538,0.497142857,157,unspec
1,207512620,207512620,4,0.0018042,0.0027765,0.0030358,0.0024956,0.0020686,0.0043454,0.0025412,1,158,unspec
1,207512845,207512845,5,0.0051363,0.007163,0.0022145,0.00064578,0.0059879,0.0032775,0.0084138,1,159,unspec
1,207512907,207512907,5,0.000607,0.0029837,0.00088271,0.0025392,0.0031167,0.0030919,0.0035907,1,160,unspec
1,207512922,207512922,1,0.001932,0.00013457,0.0041804,0.0021724,0.0024632,0.0033728,0.0022484,1,161,unspec
1,207514029,207514029,5,1.5511013,0.065583,0.0060987,0.00048351,0.0055677,1.0937,1.5572,1,162,unspec
1,207514208,207514208,3,0.0048443,0.0069494,0.0028569,0.0027261,0.0077012,0.0063097,0.00074512,1,163,unspec
1,207514451,207514451,2,0.0015141,0.0031993,0.0022937,0.0032341,0.0012414,0.00172,0.00087102,1,164,unspec
1,207515260,207515260,5,0.0017726,0.0031861,0.0031085,0.0018441,0.00021996,0.0034416,0.0048811,1,165,unspec
1,207515267,207515267,0,0.0054722,0.0070034,0.0024707,0.00026376,0.0024991,4.72E-05,0.0015312,0.627855153,166,unspec
1,207515401,207515401,1,0.0022235,0.0030469,0.0050485,0.002825,0.003059,0.002653,0.00017125,1,167,unspec
1,207515882,207515882,5,0.0031988,0.002774,0.0023665,0.0021997,5.24E-05,0.0014186,0.0053985,1,168,unspec
1,207516007,207516007,0,0.00294,0.0056562,0.00033517,0.0030328,0.0027162,0.0023472,0.0047577,0.760055866,169,unspec
1,207516051,207516051,2,0.0007942,0.0011152,0.0029868,0.0036631,0.0028689,0.0032379,0.0025789,1,170,unspec
1,207516250,207516250,1,0.001088,0.0019254,0.0027066,0.0016186,0.0015917,0.0011771,0.0019371,1,171,unspec
1,207516364,207516364,3,0.0020625,0.0020098,0.00086066,0.001244,0.0033065,0.0010616,0.0018407,1,172,unspec
1,207517305,207517305,2,0.0018201,0.00055097,0.0031791,0.0039459,0.0016165,0.0029068,0.0021258,1,173,unspec
1,207517458,207517458,0,0.0019125,0.0034214,0.0015089,0.0032324,0.00088178,0.0013636,0.0027795,0.822495606,174,unspec
1,207517526,207517526,4,0.0061392,0.0020612,0.0019981,0.0016271,0.00053819,0.0079466,0.0018074,1,175,unspec
1,207577009,207577009,1,0.0293524,0.0030457,0.034536,0.012957,0.0096714,0.0051836,0.0049895,1,176,unspec
1,207577107,207577107,5,0.0013788,0.002902,0.0029242,0.0017158,0.0010754,0.0017587,0.0031375,1,177,unspec
1,207577223,207577223,2,0.004928,0.010023,0.0030063,0.011512,0.010227,0.0057589,0.006584,1,178,unspec
1,207577265,207577265,0,0.0040932,0.0060153,0.001975,0.00075493,0.0027979,0.0019221,0.00086424,0.683564356,179,unspec
1,207577269,207577269,3,0.0076721,0.0010367,0.00011652,0.00088851,0.0087088,0.0026597,0.0016503,1,180,unspec
1,207577798,207577798,3,0.0050406,0.0030424,0.0060752,0.0052719,0.008083,0.0023778,0.0026057,1,181,unspec
1,207578894,207578894,0,0.0023345,0.0050473,0.0029578,0.0023977,0.0021736,0.0027128,0.0027543,0.795121951,182,unspec
1,207579017,207579017,5,0.0004433,0.0015501,0.0022219,0.0024896,0.0021111,0.00079407,0.0025544,1,183,unspec
1,207579205,207579205,5,0.0007401,0.0016261,0.0023228,0.0022566,0.00043506,0.00053531,0.0023662,1,184,unspec
1,207579268,207579268,3,0.0012169,0.0020909,0.0016578,0.0017213,0.0029382,0.0014631,0.0021037,1,185,unspec
1,207579625,207579625,5,0.0020901,0.0014379,0.0022989,0.00072581,0.0017931,0.0028933,0.0038832,1,186,unspec
1,207579645,207579645,0,0.0070331,0.011943,0.0070089,0.00025297,0.0049099,0.0097968,0.0041547,0.503092784,187,unspec
1,207579930,207579930,4,0.006305,6.50E-05,0.00087502,0.0011033,0.0036433,0.0074083,0.0015336,1,188,unspec
1,207580000,207580000,0,0.0015489,0.0033949,0.0032017,0.0018346,0.00097753,0.001846,0.003112,0.842074928,189,unspec
1,207580276,207580276,3,0.0041866,0.0032263,0.00028374,0.000448,0.0054553,0.0050093,0.0012687,1,190,unspec
1,207580908,207580908,2,0.0011663,0.00069612,0.0019511,0.0033681,0.0022018,0.002875,0.0023815,1,191,unspec
1,207581040,207581040,2,0.0018205,0.0021596,0.00088622,0.003748,0.0013659,0.0019275,0.0025992,1,192,unspec
1,207581205,207581205,0,0.00778581,0.0081569,0.0020945,0.00022427,0.0038311,0.0003474,0.00037109,0.497142857,193,unspec
1,207581233,207581233,0,0.0059243,0.0080504,0.001849,0.0022972,0.00094306,0.0033552,0.0021261,0.579532164,194,unspec
1,207581354,207581354,2,0.0017644,0.0023789,0.001424,0.0036404,0.0017455,0.002397,0.001876,1,195,unspec
1,207582157,207582157,0,0.0031546,0.0061588,0.0030573,0.0033494,0.0014541,0.0030042,0.0021834,0.734036145,196,unspec
1,207582391,207582391,0,0.0010869,0.00347,0.0023853,0.0011648,0.0024082,0.0014071,0.0023831,0.867602196,197,unspec
1,207582842,207582842,0,0.000975,0.0026738,0.0017861,0.0015608,0.0021338,0.0012128,0.0016988,0.876342857,198,unspec
1,207582847,207582847,4,0.0014343,0.0013089,0.0018499,0.0031564,0.0018535,0.0032842,0.0017472,1,199,unspec
1,207583244,207583244,1,0.0012246,0.002586,0.0032442,0.0010173,0.0020196,0.002058,0.0019049,1,200,unspec
1,207583890,207583890,5,0.0044137,0.0049831,0.00023135,0.00067696,0.0041107,0.0011974,0.0056111,1,201,unspec
1,207584048,207584048,1,0.0014631,0.0018388,0.0036662,0.0024174,0.0028866,0.0022031,0.0021191,1,202,unspec
1,207584170,207584170,1,0.0464166,0.0039064,0.050323,0.035374,0.0063746,0.00061493,8.20E-05,1,203,unspec
1,207584207,207584207,0,0.0006894,0.0024437,0.0017543,0.0012415,0.0018996,0.00023223,0.0020614,1,204,unspec
1,207584246,207584246,5,0.0026443,0.0002537,0.0014843,0.00017228,0.0017898,0.0025694,0.0041286,1,205,unspec
1,207584591,207584591,4,0.0027941,0.0019935,0.0040932,0.0025906,0.0021983,0.0053847,0.0047459,1,206,unspec
1,207584887,207584887,1,0.0034314,0.0027158,0.0043238,0.00079107,0.00087116,0.0008924,0.00097567,1,207,unspec
1,207585199,207585199,0,0.0007085,0.0028242,0.0022259,0.0022741,0.0020326,0.0021157,0.0020079,1,208,unspec
1,207585442,207585442,5,0.0009931,0.001173,0.0029006,0.0019413,0.00269,0.00066315,0.0029344,1,209,unspec
1,207585785,207585785,3,0.0012948,0.0024554,0.0035648,0.0025852,0.00388,0.0020869,0.0031202,1,210,unspec
1,207672368,207672368,4,0.0013091,0.00099419,0.00028976,0.0025059,0.001787,0.0026862,0.0013771,1,211,unspec
1,207672697,207672697,0,0.0011742,0.0027608,0.0013311,0.0020676,0.0017645,0.0015866,0.0012797,0.859231254,212,unspec
1,207672723,207672723,3,0.0023538,0.0036377,0.001859,0.0056504,0.005661,0.0025087,0.0033072,1,213,unspec
1,207672897,207672897,0,0.0012262,0.0055731,0.0045905,0.0043469,0.0046383,0.0013367,0.0010616,0.858585859,214,unspec
1,207672974,207672974,5,0.0022388,0.0030031,0.0030836,0.0036282,0.0041562,0.0022166,0.0053224,1,215,unspec
1,207673030,207673030,3,0.0045104,0.0025333,0.0018978,0.0020875,0.0065979,0.0026099,0.0017449,1,216,unspec
1,207673317,207673317,5,0.0052041,0.0062202,0.0041484,0.0041709,0.0099012,0.0050309,0.010235,1,217,unspec
1,207673485,207673485,4,0.0060601,0.0015827,0.0046191,0.0024963,0.0048253,0.0085564,0.0021887,1,218,unspec
1,207673678,207673678,2,0.0002185,0.0025755,0.0023374,0.0026412,0.0025568,0.0017163,0.0024227,1,219,unspec
1,207673717,207673717,5,0.0027258,0.0035133,0.0019423,0.0011282,0.0024768,0.0021999,0.0049257,1,220,unspec
1,207673783,207673783,3,0.0038201,0.0064859,0.0065896,0.0051461,0.010306,0.0049794,0.010121,1,221,unspec
1,207673850,207673850,1,0.0011539,0.0033564,0.0045103,0.0034085,0.0041512,0.00059271,0.0025683,1,222,unspec
1,207674061,207674061,5,0.0009015,0.0017612,0.0024447,0.0027342,0.00020325,0.0020676,0.0029691,1,223,unspec
